"GEO_ID","NAME","B28003_001E","B28003_001EA","B28003_001M","B28003_001MA","B28003_002E","B28003_002EA","B28003_002M","B28003_002MA","B28003_003E","B28003_003EA","B28003_003M","B28003_003MA","B28003_004E","B28003_004EA","B28003_004M","B28003_004MA","B28003_005E","B28003_005EA","B28003_005M","B28003_005MA","B28003_006E","B28003_006EA","B28003_006M","B28003_006MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Has a computer:","Annotation of Estimate!!Total:!!Has a computer:","Margin of Error!!Total:!!Has a computer:","Annotation of Margin of Error!!Total:!!Has a computer:","Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Annotation of Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Margin of Error!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Annotation of Margin of Error!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription","Annotation of Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription","Margin of Error!!Total:!!Has a computer:!!With a broadband Internet subscription","Annotation of Margin of Error!!Total:!!Has a computer:!!With a broadband Internet subscription","Estimate!!Total:!!Has a computer:!!Without an Internet subscription","Annotation of Estimate!!Total:!!Has a computer:!!Without an Internet subscription","Margin of Error!!Total:!!Has a computer:!!Without an Internet subscription","Annotation of Margin of Error!!Total:!!Has a computer:!!Without an Internet subscription","Estimate!!Total:!!No computer","Annotation of Estimate!!Total:!!No computer","Margin of Error!!Total:!!No computer","Annotation of Margin of Error!!Total:!!No computer",
"0500000US04025","Yavapai County, Arizona","98386","null","1046","null","89437","null","1236","null","629","null","151","null","80325","null","1262","null","8483","null","837","null","8949","null","733","null",
"0500000US04027","Yuma County, Arizona","73098","null","865","null","62738","null","991","null","230","null","91","null","56614","null","1079","null","5894","null","496","null","10360","null","597","null",
"0500000US05001","Arkansas County, Arkansas","7491","null","297","null","6135","null","302","null","25","null","19","null","5019","null","308","null","1091","null","201","null","1356","null","154","null",
"0500000US05003","Ashley County, Arkansas","7757","null","261","null","6002","null","314","null","20","null","20","null","4680","null","376","null","1302","null","256","null","1755","null","234","null",
"0500000US05005","Baxter County, Arkansas","18435","null","481","null","16014","null","525","null","240","null","94","null","13674","null","549","null","2100","null","344","null","2421","null","289","null",
"0500000US05007","Benton County, Arkansas","97249","null","782","null","90355","null","924","null","276","null","88","null","67867","null","1443","null","22212","null","1263","null","6894","null","548","null",
"0500000US05009","Boone County, Arkansas","15034","null","360","null","13094","null","432","null","120","null","60","null","12038","null","445","null","936","null","203","null","1940","null","273","null",
"0500000US05011","Bradley County, Arkansas","4419","null","161","null","3604","null","178","null","22","null","23","null","2944","null","214","null","638","null","138","null","815","null","135","null",
"0500000US05013","Calhoun County, Arkansas","1850","null","139","null","1418","null","159","null","16","null","21","null","1154","null","154","null","248","null","69","null","432","null","102","null",
"0500000US05015","Carroll County, Arkansas","11139","null","440","null","9479","null","464","null","128","null","79","null","7609","null","532","null","1742","null","321","null","1660","null","287","null",
"0500000US05017","Chicot County, Arkansas","4068","null","208","null","3015","null","216","null","0","null","19","null","2498","null","205","null","517","null","102","null","1053","null","179","null",
"0500000US05019","Clark County, Arkansas","8446","null","359","null","6948","null","381","null","18","null","18","null","5770","null","377","null","1160","null","222","null","1498","null","208","null",
"0500000US05021","Clay County, Arkansas","6444","null","176","null","5023","null","198","null","27","null","23","null","4231","null","193","null","765","null","155","null","1421","null","161","null",
"0500000US05023","Cleburne County, Arkansas","10783","null","262","null","9124","null","312","null","65","null","43","null","7979","null","318","null","1080","null","224","null","1659","null","237","null",
"0500000US05025","Cleveland County, Arkansas","3217","null","174","null","2622","null","162","null","23","null","23","null","1933","null","166","null","666","null","135","null","595","null","101","null",
"0500000US05027","Columbia County, Arkansas","8562","null","381","null","6023","null","388","null","20","null","25","null","5209","null","343","null","794","null","192","null","2539","null","277","null",
"0500000US05029","Conway County, Arkansas","8309","null","299","null","6641","null","343","null","21","null","23","null","5348","null","348","null","1272","null","241","null","1668","null","279","null",
"0500000US05031","Craighead County, Arkansas","41375","null","573","null","37702","null","732","null","35","null","40","null","33444","null","803","null","4223","null","568","null","3673","null","402","null",
"0500000US05033","Crawford County, Arkansas","23958","null","478","null","20222","null","521","null","206","null","122","null","17144","null","565","null","2872","null","395","null","3736","null","419","null",
"0500000US05035","Crittenden County, Arkansas","19074","null","278","null","15891","null","348","null","67","null","37","null","14417","null","336","null","1407","null","197","null","3183","null","287","null",
"0500000US05037","Cross County, Arkansas","6653","null","224","null","5362","null","273","null","0","null","19","null","4628","null","278","null","734","null","150","null","1291","null","193","null",
"0500000US05039","Dallas County, Arkansas","2969","null","219","null","2254","null","220","null","17","null","18","null","1707","null","189","null","530","null","144","null","715","null","123","null",
