"GEO_ID","NAME","B28003_001E","B28003_001EA","B28003_001M","B28003_001MA","B28003_002E","B28003_002EA","B28003_002M","B28003_002MA","B28003_003E","B28003_003EA","B28003_003M","B28003_003MA","B28003_004E","B28003_004EA","B28003_004M","B28003_004MA","B28003_005E","B28003_005EA","B28003_005M","B28003_005MA","B28003_006E","B28003_006M","B28003_006MA","B28003_006EA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Has a computer:","Annotation of Estimate!!Total:!!Has a computer:","Margin of Error!!Total:!!Has a computer:","Annotation of Margin of Error!!Total:!!Has a computer:","Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Annotation of Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Margin of Error!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Annotation of Margin of Error!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription","Annotation of Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription","Margin of Error!!Total:!!Has a computer:!!With a broadband Internet subscription","Annotation of Margin of Error!!Total:!!Has a computer:!!With a broadband Internet subscription","Estimate!!Total:!!Has a computer:!!Without an Internet subscription","Annotation of Estimate!!Total:!!Has a computer:!!Without an Internet subscription","Margin of Error!!Total:!!Has a computer:!!Without an Internet subscription","Annotation of Margin of Error!!Total:!!Has a computer:!!Without an Internet subscription","Estimate!!Total:!!No computer","Margin of Error!!Total:!!No computer","Annotation of Margin of Error!!Total:!!No computer","Annotation of Estimate!!Total:!!No computer",
"0500000US01125","Tuscaloosa County, Alabama","81790","null","975","null","75188","null","1029","null","136","null","115","null","68679","null","1120","null","6373","null","636","null","6602","578","null","null",
"0500000US01127","Walker County, Alabama","24646","null","400","null","21598","null","515","null","15","null","18","null","19144","null","625","null","2439","null","427","null","3048","306","null","null",
"0500000US01129","Washington County, Alabama","5261","null","333","null","4423","null","315","null","12","null","17","null","3689","null","305","null","722","null","160","null","838","187","null","null",
"0500000US01131","Wilcox County, Alabama","3626","null","227","null","2920","null","213","null","22","null","23","null","2537","null","237","null","361","null","115","null","706","138","null","null",
"0500000US01133","Winston County, Alabama","9219","null","316","null","7888","null","381","null","23","null","23","null","6922","null","388","null","943","null","219","null","1331","237","null","null",
"0500000US02013","Aleutians East Borough, Alaska","914","null","120","null","808","null","105","null","0","null","10","null","526","null","75","null","282","null","51","null","106","34","null","null",
"0500000US02016","Aleutians West Census Area, Alaska","1004","null","201","null","934","null","205","null","1","null","3","null","748","null","180","null","185","null","49","null","70","30","null","null",
"0500000US02020","Anchorage Municipality, Alaska","106695","null","891","null","103708","null","951","null","108","null","63","null","98503","null","1145","null","5097","null","655","null","2987","399","null","null",
"0500000US02050","Bethel Census Area, Alaska","4520","null","170","null","4100","null","169","null","3","null","4","null","3363","null","154","null","734","null","84","null","420","56","null","null",
"0500000US02060","Bristol Bay Borough, Alaska","315","null","53","null","291","null","49","null","0","null","10","null","241","null","42","null","50","null","19","null","24","11","null","null",
"0500000US02063","Chugach Census Area, Alaska","2592","null","152","null","2467","null","163","null","0","null","14","null","2300","null","185","null","167","null","94","null","125","78","null","null",
"0500000US02066","Copper River Census Area, Alaska","946","null","125","null","869","null","114","null","0","null","10","null","701","null","102","null","168","null","67","null","77","36","null","null",
"0500000US02068","Denali Borough, Alaska","531","null","306","null","511","null","295","null","0","null","10","null","446","null","263","null","65","null","41","null","20","20","null","null",
"0500000US02070","Dillingham Census Area, Alaska","1372","null","83","null","1289","null","83","null","0","null","10","null","1021","null","85","null","268","null","44","null","83","21","null","null",
"0500000US02090","Fairbanks North Star Borough, Alaska","35298","null","809","null","34345","null","836","null","210","null","128","null","31105","null","876","null","3030","null","600","null","953","246","null","null",
"0500000US02100","Haines Borough, Alaska","773","null","106","null","737","null","101","null","2","null","4","null","650","null","103","null","85","null","62","null","36","32","null","null",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","811","null","121","null","652","null","107","null","0","null","10","null","478","null","93","null","174","null","39","null","159","51","null","null",
"0500000US02110","Juneau City and Borough, Alaska","12922","null","279","null","12410","null","302","null","11","null","12","null","11841","null","324","null","558","null","159","null","512","159","null","null",
"0500000US02122","Kenai Peninsula Borough, Alaska","22768","null","382","null","21241","null","382","null","54","null","41","null","19242","null","435","null","1945","null","264","null","1527","243","null","null",
"0500000US02130","Ketchikan Gateway Borough, Alaska","5487","null","127","null","5144","null","135","null","5","null","7","null","4778","null","136","null","361","null","77","null","343","65","null","null",
"0500000US02150","Kodiak Island Borough, Alaska","4416","null","225","null","4145","null","233","null","0","null","16","null","3943","null","237","null","202","null","99","null","271","104","null","null",
"0500000US02158","Kusilvak Census Area, Alaska","1815","null","98","null","1520","null","97","null","0","null","14","null","1252","null","114","null","268","null","50","null","295","48","null","null",
"0500000US02164","Lake and Peninsula Borough, Alaska","319","null","157","null","282","null","144","null","0","null","10","null","211","null","112","null","71","null","38","null","37","20","null","null",
"0500000US02170","Matanuska-Susitna Borough, Alaska","38056","null","314","null","36469","null","341","null","147","null","78","null","33922","null","367","null","2400","null","249","null","1587","191","null","null",
"0500000US02180","Nome Census Area, Alaska","2714","null","134","null","2549","null","132","null","0","null","16","null","2162","null","127","null","387","null","42","null","165","29","null","null",
"0500000US02185","North Slope Borough, Alaska","2103","null","152","null","1830","null","177","null","0","null","16","null","1460","null","143","null","370","null","98","null","273","79","null","null",
"0500000US02188","Northwest Arctic Borough, Alaska","1756","null","78","null","1580","null","84","null","0","null","14","null","1420","null","81","null","160","null","31","null","176","32","null","null",
"0500000US02195","Petersburg Borough, Alaska","1211","null","141","null","1141","null","125","null","1","null","2","null","1036","null","121","null","104","null","37","null","70","33","null","null",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","2310","null","93","null","1995","null","93","null","0","null","14","null","1577","null","105","null","418","null","61","null","315","54","null","null",
"0500000US02220","Sitka City and Borough, Alaska","3439","null","149","null","3236","null","162","null","6","null","9","null","2919","null","163","null","311","null","89","null","203","56","null","null",
"0500000US02230","Skagway Municipality, Alaska","390","null","62","null","378","null","61","null","0","null","10","null","339","null","57","null","39","null","15","null","12","7","null","null",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","2127","null","122","null","1926","null","127","null","6","null","8","null","1504","null","138","null","416","null","84","null","201","52","null","null",
"0500000US02275","Wrangell City and Borough, Alaska","842","null","74","null","724","null","71","null","0","null","10","null","650","null","66","null","74","null","43","null","118","37","null","null",
"0500000US02282","Yakutat City and Borough, Alaska","216","null","50","null","198","null","51","null","0","null","10","null","181","null","50","null","17","null","10","null","18","13","null","null",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","1899","null","81","null","1394","null","75","null","6","null","6","null","863","null","68","null","525","null","55","null","505","44","null","null",
"0500000US04001","Apache County, Arizona","19443","null","380","null","12081","null","331","null","47","null","35","null","8168","null","368","null","3866","null","323","null","7362","334","null","null",
"0500000US04003","Cochise County, Arizona","49239","null","748","null","45162","null","777","null","82","null","50","null","41447","null","894","null","3633","null","493","null","4077","444","null","null",
"0500000US04005","Coconino County, Arizona","51037","null","843","null","47752","null","915","null","142","null","103","null","40922","null","991","null","6688","null","651","null","3285","350","null","null",
"0500000US04007","Gila County, Arizona","22306","null","611","null","19371","null","693","null","70","null","70","null","16329","null","727","null","2972","null","399","null","2935","429","null","null",
"0500000US04009","Graham County, Arizona","11577","null","287","null","10508","null","298","null","0","null","28","null","9265","null","349","null","1243","null","233","null","1069","196","null","null",
"0500000US04011","Greenlee County, Arizona","3265","null","184","null","3144","null","200","null","11","null","18","null","2901","null","204","null","232","null","97","null","121","75","null","null",
"0500000US04012","La Paz County, Arizona","8678","null","364","null","7702","null","365","null","64","null","54","null","6130","null","434","null","1508","null","296","null","976","210","null","null",
"0500000US04013","Maricopa County, Arizona","1632151","null","3830","null","1562569","null","4188","null","3230","null","438","null","1462374","null","5147","null","96965","null","2730","null","69582","2175","null","null",
"0500000US04015","Mohave County, Arizona","93179","null","1199","null","85262","null","1208","null","369","null","155","null","77696","null","1393","null","7197","null","720","null","7917","745","null","null",
"0500000US04017","Navajo County, Arizona","36567","null","645","null","30285","null","724","null","427","null","158","null","24054","null","718","null","5804","null","512","null","6282","416","null","null",
"0500000US04019","Pima County, Arizona","417483","null","1735","null","394983","null","2095","null","971","null","185","null","369996","null","2349","null","24016","null","1191","null","22500","1161","null","null",
"0500000US04021","Pinal County, Arizona","145554","null","1497","null","137156","null","1483","null","196","null","81","null","128368","null","1544","null","8592","null","699","null","8398","610","null","null",
"0500000US04023","Santa Cruz County, Arizona","16428","null","332","null","14681","null","385","null","57","null","48","null","12936","null","413","null","1688","null","341","null","1747","287","null","null",
"0500000US04025","Yavapai County, Arizona","103934","null","1022","null","97276","null","1217","null","516","null","185","null","90456","null","1303","null","6304","null","670","null","6658","652","null","null",
"0500000US04027","Yuma County, Arizona","72716","null","958","null","65269","null","1020","null","175","null","97","null","59223","null","1020","null","5871","null","700","null","7447","669","null","null",
"0500000US05001","Arkansas County, Arkansas","6595","null","250","null","5578","null","277","null","0","null","20","null","4693","null","285","null","885","null","210","null","1017","195","null","null",
"0500000US05003","Ashley County, Arkansas","7239","null","286","null","5926","null","294","null","11","null","13","null","5092","null","286","null","823","null","192","null","1313","224","null","null",
"0500000US05005","Baxter County, Arkansas","18835","null","377","null","17009","null","428","null","116","null","73","null","14946","null","539","null","1947","null","291","null","1826","296","null","null",
"0500000US05007","Benton County, Arkansas","101109","null","706","null","96050","null","826","null","126","null","59","null","85264","null","1093","null","10660","null","776","null","5059","575","null","null",
"0500000US05009","Boone County, Arkansas","15190","null","371","null","13876","null","466","null","50","null","48","null","12820","null","499","null","1006","null","298","null","1314","239","null","null",
"0500000US05011","Bradley County, Arkansas","3706","null","169","null","3122","null","179","null","0","null","20","null","2689","null","224","null","433","null","150","null","584","135","null","null",
"0500000US05013","Calhoun County, Arkansas","1481","null","246","null","1286","null","282","null","13","null","18","null","1092","null","246","null","181","null","89","null","195","79","null","null",
"0500000US05015","Carroll County, Arkansas","11168","null","400","null","9918","null","456","null","16","null","28","null","8453","null","464","null","1449","null","267","null","1250","290","null","null",
"0500000US05017","Chicot County, Arkansas","4014","null","170","null","3304","null","198","null","0","null","20","null","2730","null","212","null","574","null","141","null","710","129","null","null",
"0500000US05019","Clark County, Arkansas","8056","null","304","null","6899","null","354","null","2","null","3","null","6087","null","358","null","810","null","178","null","1157","215","null","null",
"0500000US05021","Clay County, Arkansas","6152","null","189","null","5171","null","224","null","33","null","27","null","4477","null","211","null","661","null","148","null","981","142","null","null",
"0500000US05023","Cleburne County, Arkansas","10664","null","344","null","9340","null","377","null","30","null","22","null","8473","null","370","null","837","null","199","null","1324","255","null","null",
"0500000US05025","Cleveland County, Arkansas","2745","null","153","null","2267","null","185","null","34","null","37","null","1913","null","180","null","320","null","113","null","478","133","null","null",
"0500000US05027","Columbia County, Arkansas","7768","null","523","null","6228","null","567","null","0","null","24","null","5467","null","544","null","761","null","173","null","1540","234","null","null",
"0500000US05029","Conway County, Arkansas","8460","null","262","null","7351","null","309","null","4","null","8","null","6313","null","401","null","1034","null","249","null","1109","232","null","null",
"0500000US05031","Craighead County, Arkansas","41865","null","645","null","38367","null","784","null","50","null","54","null","34538","null","845","null","3779","null","541","null","3498","508","null","null",
"0500000US05033","Crawford County, Arkansas","22748","null","391","null","20162","null","573","null","114","null","87","null","17492","null","632","null","2556","null","406","null","2586","437","null","null",
"0500000US05035","Crittenden County, Arkansas","18561","null","305","null","16120","null","378","null","25","null","20","null","15092","null","406","null","1003","null","180","null","2441","294","null","null",
"0500000US05037","Cross County, Arkansas","6390","null","205","null","5454","null","255","null","0","null","20","null","4899","null","276","null","555","null","146","null","936","167","null","null",
"0500000US05039","Dallas County, Arkansas","2326","null","161","null","1730","null","160","null","0","null","18","null","1526","null","147","null","204","null","78","null","596","129","null","null",
"0500000US05041","Desha County, Arkansas","4721","null","174","null","3876","null","187","null","9","null","13","null","3160","null","195","null","707","null","154","null","845","146","null","null",
"0500000US05043","Drew County, Arkansas","6970","null","289","null","6094","null","327","null","8","null","13","null","5208","null","387","null","878","null","265","null","876","206","null","null",
"0500000US05045","Faulkner County, Arkansas","46445","null","656","null","43561","null","747","null","53","null","45","null","40259","null","855","null","3249","null","461","null","2884","376","null","null",
"0500000US05047","Franklin County, Arkansas","6718","null","282","null","5682","null","345","null","84","null","64","null","4702","null","347","null","896","null","205","null","1036","237","null","null",
"0500000US05049","Fulton County, Arkansas","4636","null","243","null","3940","null","257","null","24","null","26","null","2464","null","256","null","1452","null","278","null","696","161","null","null",
"0500000US05051","Garland County, Arkansas","41919","null","685","null","38431","null","742","null","63","null","61","null","33599","null","846","null","4769","null","590","null","3488","431","null","null",
"0500000US05053","Grant County, Arkansas","6850","null","241","null","6061","null","279","null","16","null","18","null","5466","null","316","null","579","null","185","null","789","214","null","null",
"0500000US05055","Greene County, Arkansas","17583","null","348","null","15933","null","419","null","4","null","6","null","14291","null","513","null","1638","null","315","null","1650","266","null","null",
"0500000US05057","Hempstead County, Arkansas","7566","null","363","null","6363","null","327","null","3","null","6","null","5775","null","339","null","585","null","174","null","1203","212","null","null",
"0500000US05059","Hot Spring County, Arkansas","12070","null","399","null","10227","null","453","null","35","null","44","null","8674","null","489","null","1518","null","245","null","1843","312","null","null",
"0500000US05061","Howard County, Arkansas","5253","null","208","null","4675","null","243","null","12","null","21","null","3945","null","280","null","718","null","217","null","578","137","null","null",
"0500000US05063","Independence County, Arkansas","14349","null","398","null","12372","null","534","null","16","null","18","null","8947","null","507","null","3409","null","393","null","1977","359","null","null",
